nohup: ignoring input
[CACHE] Train tag: raw_train_c292c3d99a | hit=False
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=False
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 75733 | unique IDs = 512
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] U1-U41 train-only normalization is disabled for this baseline.
Epoch 142 | TE cls=0.8719 | SOC MedAPE(raw)=16.991% | SOH MedAPE(raw)=3.103% | train_select_score=0.874981 | time=33.37s
Epoch 143 | TE cls=0.8891 | SOC MedAPE(raw)=16.596% | SOH MedAPE(raw)=3.085% | train_select_score=0.876236 | time=33.37s
Epoch 144 | TE cls=0.8547 | SOC MedAPE(raw)=20.158% | SOH MedAPE(raw)=3.259% | train_select_score=0.878916 | time=33.43s
Epoch 145 | TE cls=0.8922 | SOC MedAPE(raw)=16.975% | SOH MedAPE(raw)=2.951% | train_select_score=0.875257 | time=33.63s
Epoch 146 | TE cls=0.8914 | SOC MedAPE(raw)=16.473% | SOH MedAPE(raw)=3.232% | train_select_score=0.879783 | time=33.51s
Epoch 147 | TE cls=0.8758 | SOC MedAPE(raw)=16.643% | SOH MedAPE(raw)=3.298% | train_select_score=0.877679 | time=33.52s
Epoch 148 | TE cls=0.8961 | SOC MedAPE(raw)=15.025% | SOH MedAPE(raw)=3.084% | train_select_score=0.878590 | time=32.91s
Epoch 149 | TE cls=0.8977 | SOC MedAPE(raw)=16.001% | SOH MedAPE(raw)=3.072% | train_select_score=0.879371 | time=34.72s
Epoch 150 | TE cls=0.8766 | SOC MedAPE(raw)=15.560% | SOH MedAPE(raw)=3.350% | train_select_score=0.878661 | time=32.60s
Epoch 151 | TE cls=0.8766 | SOC MedAPE(raw)=15.963% | SOH MedAPE(raw)=3.207% | train_select_score=0.880818 | time=32.81s
Epoch 152 | TE cls=0.8930 | SOC MedAPE(raw)=18.670% | SOH MedAPE(raw)=3.170% | train_select_score=0.880772 | time=36.79s
Epoch 153 | TE cls=0.8852 | SOC MedAPE(raw)=16.906% | SOH MedAPE(raw)=3.347% | train_select_score=0.883376 | time=34.18s
Epoch 154 | TE cls=0.8648 | SOC MedAPE(raw)=19.196% | SOH MedAPE(raw)=3.403% | train_select_score=0.879780 | time=33.26s
Epoch 155 | TE cls=0.8977 | SOC MedAPE(raw)=16.278% | SOH MedAPE(raw)=3.079% | train_select_score=0.881588 | time=33.16s
Epoch 156 | TE cls=0.8461 | SOC MedAPE(raw)=18.616% | SOH MedAPE(raw)=3.412% | train_select_score=0.884459 | time=33.19s
Epoch 157 | TE cls=0.8781 | SOC MedAPE(raw)=18.287% | SOH MedAPE(raw)=3.240% | train_select_score=0.882223 | time=32.92s
Epoch 158 | TE cls=0.8430 | SOC MedAPE(raw)=17.672% | SOH MedAPE(raw)=3.358% | train_select_score=0.881541 | time=33.70s
Epoch 159 | TE cls=0.8953 | SOC MedAPE(raw)=14.843% | SOH MedAPE(raw)=3.116% | train_select_score=0.884365 | time=33.63s
Epoch 160 | TE cls=0.8680 | SOC MedAPE(raw)=17.221% | SOH MedAPE(raw)=2.813% | train_select_score=0.885506 | time=33.27s
Epoch 161 | TE cls=0.9070 | SOC MedAPE(raw)=18.724% | SOH MedAPE(raw)=3.018% | train_select_score=0.883302 | time=37.20s
Epoch 162 | TE cls=0.8812 | SOC MedAPE(raw)=18.729% | SOH MedAPE(raw)=3.420% | train_select_score=0.881797 | time=35.57s
Epoch 163 | TE cls=0.8453 | SOC MedAPE(raw)=18.021% | SOH MedAPE(raw)=3.534% | train_select_score=0.884053 | time=35.13s
Epoch 164 | TE cls=0.9102 | SOC MedAPE(raw)=14.023% | SOH MedAPE(raw)=2.967% | train_select_score=0.883860 | time=33.65s
Epoch 165 | TE cls=0.8750 | SOC MedAPE(raw)=17.571% | SOH MedAPE(raw)=3.137% | train_select_score=0.881996 | time=34.87s
Epoch 166 | TE cls=0.8102 | SOC MedAPE(raw)=19.484% | SOH MedAPE(raw)=3.569% | train_select_score=0.884285 | time=33.61s
Epoch 167 | TE cls=0.9031 | SOC MedAPE(raw)=15.008% | SOH MedAPE(raw)=3.168% | train_select_score=0.885770 | time=33.60s
Epoch 168 | TE cls=0.8828 | SOC MedAPE(raw)=20.383% | SOH MedAPE(raw)=3.329% | train_select_score=0.884720 | time=33.39s
Epoch 169 | TE cls=0.9039 | SOC MedAPE(raw)=13.567% | SOH MedAPE(raw)=3.094% | train_select_score=0.886438 | time=33.78s
Epoch 170 | TE cls=0.8852 | SOC MedAPE(raw)=15.176% | SOH MedAPE(raw)=3.307% | train_select_score=0.886273 | time=33.89s
Epoch 171 | TE cls=0.9172 | SOC MedAPE(raw)=14.098% | SOH MedAPE(raw)=3.103% | train_select_score=0.889009 | time=32.94s
Epoch 172 | TE cls=0.8852 | SOC MedAPE(raw)=16.582% | SOH MedAPE(raw)=3.111% | train_select_score=0.885485 | time=33.76s
Epoch 173 | TE cls=0.9008 | SOC MedAPE(raw)=18.020% | SOH MedAPE(raw)=3.188% | train_select_score=0.885694 | time=36.29s
