[INFO] Device: cpu
[INFO] Channel mode: ch12 | input_channels=2
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=196, best_score=0.831370, best_epoch=136
[stage2_soh] epoch 140 | VAL cls=0.9745 | SOC MedAPE(raw)=6.422% | SOH MedAPE(raw)=2.090% | val_score=-0.502350
[stage2_soh] epoch 141 | VAL cls=0.9745 | SOC MedAPE(raw)=6.301% | SOH MedAPE(raw)=2.547% | val_score=-0.500515
[stage2_soh] epoch 142 | VAL cls=0.9745 | SOC MedAPE(raw)=6.441% | SOH MedAPE(raw)=2.486% | val_score=-0.528839
[stage2_soh] epoch 143 | VAL cls=0.9745 | SOC MedAPE(raw)=6.695% | SOH MedAPE(raw)=2.646% | val_score=-0.524571
[stage2_soh] epoch 144 | VAL cls=0.9745 | SOC MedAPE(raw)=6.290% | SOH MedAPE(raw)=2.531% | val_score=-0.511894
[stage2_soh] epoch 145 | VAL cls=0.9745 | SOC MedAPE(raw)=6.237% | SOH MedAPE(raw)=2.553% | val_score=-0.504978
[stage2_soh] epoch 146 | VAL cls=0.9745 | SOC MedAPE(raw)=6.262% | SOH MedAPE(raw)=2.768% | val_score=-0.533002
[stage2_soh] epoch 147 | VAL cls=0.9745 | SOC MedAPE(raw)=6.359% | SOH MedAPE(raw)=2.399% | val_score=-0.500890
[stage2_soh] epoch 148 | VAL cls=0.9745 | SOC MedAPE(raw)=6.287% | SOH MedAPE(raw)=2.420% | val_score=-0.502084
[stage2_soh] epoch 149 | VAL cls=0.9745 | SOC MedAPE(raw)=6.589% | SOH MedAPE(raw)=2.483% | val_score=-0.515147
[stage2_soh] epoch 150 | VAL cls=0.9745 | SOC MedAPE(raw)=6.828% | SOH MedAPE(raw)=2.701% | val_score=-0.532650
[stage2_soh] epoch 151 | VAL cls=0.9745 | SOC MedAPE(raw)=6.263% | SOH MedAPE(raw)=2.435% | val_score=-0.497362
