soc_flow_base_noise,soh_flow_base_noise
2.9847574,0.92881924
2.1232991,2.643481
2.9780178,0.74676037
-2.3019972,0.071805
0.39187098,-1.6772197
-1.352507,-0.022019029
-0.6712055,-1.6889517
-1.0103139,-0.9623805
-1.852299,-0.692495
0.041587114,0.025746793
-0.84912515,-0.6084304
0.36425948,0.15472834
-0.24348545,-1.8828313
2.5204525,-0.06005895
-1.5003052,-1.923108
-0.55045503,-1.150559
-0.24170995,-1.0011349
-0.6774502,-2.9691694
-2.2076213,-1.1956487
0.9618068,-1.7474353
-1.0190428,0.22016662
-0.88157654,-1.1953712
1.0801144,-2.9818013
0.83837867,0.26112807
-1.563962,-2.0869322
0.15113068,-1.3342265
-1.823973,-2.738523
-0.45352077,-1.9142437
2.252859,2.9798756
-2.6173427,-2.993111
-1.2706991,-2.991202
1.5999212,-1.5241597
-0.79932666,-2.9924045
0.24397326,-1.6886709
2.9913278,2.9502833
0.4112394,1.5640332
-1.1281908,-1.1087689
1.1912612,1.8721821
-2.7671905,-2.8681152
0.12209296,-1.906264
-0.5378337,1.918985
-0.18768334,-1.4967335
-0.81103873,-2.9933062
0.37878978,-2.8968852
0.6703112,-1.0099286
-1.0634556,-2.3683553
0.33663487,-0.05892718
-0.211339,-2.34169
0.25295424,-0.76026714
-0.5488231,0.13996899
0.40320915,-0.692534
0.46084094,-0.0040308237
1.082396,2.8146834
1.9354033,1.8914986
0.8855715,1.4997563
0.8069302,-2.600707
2.2799172,1.9617537
-1.6900775,-1.202816
-0.10558295,-0.64612997
0.020086765,2.0382428
0.57760644,0.9130379
0.63920593,-1.7676232
-0.73807573,-2.9579463
-0.01567483,-0.72552246
0.0533185,-2.5575147
-0.51411223,-2.3411374
-1.3355253,-2.9328384
0.30627823,-1.5630815
-0.4573083,-2.362434
-2.9364972,-2.9847083
-1.4764528,-2.9085474
2.6122298,-1.4717127
2.9248607,-0.55488497
0.47485828,-2.825462
-1.0256093,-2.840042
-2.3736248,-1.9574051
-2.6974926,-2.9579237
-0.32000566,-0.5337205
-0.21217768,-0.74533355
0.7920177,2.225486
-1.410897,1.0883194
-1.4833059,-1.5266883
2.2240827,2.8811796
-0.38912988,-0.15289092
0.7782393,-2.1698058
0.54910827,-2.283999
-1.7335126,-2.9538667
2.9919505,-2.1988032
0.097337484,-1.8684846
-0.95991254,-1.5315938
1.6067765,2.048798
-0.40645856,-2.9970186
-0.56734157,-2.996521
1.7573607,1.8251994
-2.5536513,-0.87339133
2.9588027,1.1987638
-2.9827366,-2.6670082
0.83728695,-0.1866653
-1.6960796,-2.9972146
-2.9855947,-2.955793
-2.9423063,-2.978726
2.9645975,2.8637586
1.2561941,2.59024
-0.54262245,-0.83269215
0.47277492,2.3898985
1.5103948,2.9325922
0.37425756,2.1666572
-2.0941877,-2.5305161
-2.3423066,-2.9300635
-1.9940608,-0.8861706
0.37749958,2.9336805
1.6719186,-0.02491343
0.97729886,2.9406257
2.3621325,2.8383539
2.432583,-1.1845417
0.98184144,-1.6097267
-0.7945646,-2.9801388
-2.5564303,-1.2141447
-2.6270094,-2.9755154
-2.6011868,-1.2737472
-0.5858073,2.73961
-2.6058226,-2.912455
-2.9784865,-2.7242222
-0.21691245,-2.909432
-2.4039333,-2.9774592
-0.6896894,-2.6590235
-1.909253,-2.8731065
-2.7236264,-2.9770782
2.9823387,0.5985702
0.74263,2.7277956
2.9759593,1.6593729
-2.7945845,0.14685771
0.8496723,-1.631877
-0.08794451,0.059321523
-1.00156,-1.9260552
-1.2507699,-0.99578106
-1.8104525,-0.77615106
0.08409858,0.13435733
0.333771,-0.7601813
